platen_name,platen_id,platen_length_m,platen_width_m,subcontractor_team,ship_id,block_seq_id,block_id,block_length_m,block_width_m,processing_time_days,block_output_value,planned_start_day,planned_end_day,due_date_day,delay_days,early_days,standard_early_days
10号南-11,PPT1006A,20,20,RH,H1087,85,283,13.7,18.32,36,250.984,43574,43610,43570,40,-96,7
48南-10,BQM4810A,22,21,MZ,H1087,86,826,20.5,21,35,430.5,44010,44045,43564,481,-520,3
48北-3,BQM4853A,36,21,HN,H1087,87,826,20.5,21,35,430.5,43945,43980,43564,416,-455,3
48北-3,BQM4853A,36,21,HN,H1087,88,836,8,21,35,168,43490,43525,43564,-39,0,3
48南-10,BQM4810A,22,21,MZ,H1087,89,836,8,21,35,168,43490,43525,43564,-39,0,3
10号南-9,PPT1005A,20,20,RH,H1087,90,803,15.5,14,35,217,43612,43647,43560,87,-139,1
0号西-1,PPT0001A,20,21,MZ,H1087,91,803,15.5,15,35,232.5,43473,43508,43560,-52,0,1
42南-2,BQM4202A,18,18,YT,H1087,93,262,14.6,17.28,39,252.288,43779,43818,43572,246,-300,6
8号北-14,PPT0857A,20,22,HL,H1087,94,272,14.4,17.28,39,248.832,43571,43610,43572,38,-92,6
10号北-20,PPT1060A,20,20,外场HN,H1087,95,643,13.412,17.72,19,237.66064,43613,43632,43553,79,-113,3
0号西-3,PPT0002A,20,21,MZ,H1087,96,643,13.412,17.72,19,237.66064,43500,43519,43553,-34,0,3
10号南-7,PPT1004A,20,20,外场ZH,H1087,97,653,11.2,17.72,19,198.464,43709,43728,43553,175,-209,3
10号南-17,PPT1009A,18,20,外场HN,H1087,98,653,11.2,17.72,19,198.464,43500,43519,43553,-34,0,3
10号南-19,PPT1010A,18,20,外场HN,H1088,99,154,19.932,15.976,45,318.433632,43677,43722,43573,149,-208,8
10号北-22,PPT1061A,20,20,外场HN,H1088,100,823,16.231,14.307,21,232.216917,43775,43796,43555,241,-270,0
10号南-3,PPT1002A,20,20,外场ZH,H1088,101,823,16.231,14.307,21,232.216917,43652,43673,43555,118,-147,0
10号南-19,PPT1010A,18,20,外场HN,H1088,102,642,13.412,19.5,20,261.534,43602,43622,43550,72,-116,5
8号南-15,PPT0808A,20,22,HL,H1088,103,642,13.412,19.5,20,261.534,43613,43633,43550,83,-127,5
0号东-20,PPT0060A,18,21,QS,H1088,104,652,13.412,19.5,20,261.534,43652,43672,43550,122,-166,5
8号南-15,PPT0808A,20,22,HL,H1088,105,652,13.412,19.5,20,261.534,43486,43506,43550,-44,0,5
8号北-16,PPT0858A,20,22,HL,H1088,106,261,20.1,16,37,321.6,43599,43636,43561,75,-135,6
10号南-17,PPT1009A,18,20,外场HN,H1087,107,271,17.8,16,37,284.8,43748,43785,43561,224,-284,6
10号南-23,PPT1012A,18,20,外场HN,H1087,108,824,15.665,11.094,22,173.78751,43721,43743,43551,192,-216,4
8号南-13,PPT0807A,20,22,XZY,H1087,109,824,15.665,11.094,22,173.78751,43505,43527,43551,-24,0,4
10号南-15,PPT1008A,18,20,外场HN,H1087,110,834,9.215,10.9,22,100.4435,43505,43527,43551,-24,0,4
0号东-12,PPT0056A,20,21,QS,H1087,111,834,9.215,10.9,22,100.4435,43728,43750,43551,199,-223,4
10号南-13,PPT1007A,18,20,RH,H1087,112,833,8.709,14.287,17,124.425483,43635,43652,43544,108,-130,0
