seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_date_day,delay_days,processing_time_days,is_feasible,status
539,293,H1087,2,BQM4803A,Bay48-S-3,457,488,209,279,31,True,ALLOCATED
540,621,H1087,63,PPT0862A,Bay8-N-24,168,178,213,0,10,True,ALLOCATED
541,263,H1087,23,PPT0059A,0东-18,179,205,211,0,26,True,ALLOCATED
542,823,H1087,14,PPT0004A,0西-7,152,184,209,0,32,True,ALLOCATED
543,833,H1087,10,BQM4202A,Bay42-S-2,152,184,209,0,32,True,ALLOCATED
544,631,H1087,50,PPT0801A,Bay8-S-1,167,175,212,0,8,True,ALLOCATED
545,273,H1087,22,PPT0058A,0东-16,179,205,210,0,26,True,ALLOCATED
546,161,H1087,32,PPT1008A,Bay10-S-15,204,223,212,11,19,True,ALLOCATED
547,171,H1088,54,PPT0807A,Bay8-S-13,204,223,212,11,19,True,ALLOCATED
548,282,H1088,21,PPT0057A,0东-14,167,197,209,0,30,True,ALLOCATED
549,292,H1088,28,PPT1004A,Bay10-S-7,167,197,209,0,30,True,ALLOCATED
550,123,H1088,30,PPT1006A,Bay10-S-11,172,200,205,0,28,True,ALLOCATED
551,623,H1088,57,PPT0810A,Bay8-S-19,204,219,211,8,15,True,ALLOCATED
552,633,H1088,22,PPT0058A,0东-16,205,220,211,9,15,True,ALLOCATED
553,182,H1088,3,BQM4808A,Bay48-S-8,187,204,210,0,17,True,ALLOCATED
554,192,H1088,12,PPT0002A,0西-3,187,204,210,0,17,True,ALLOCATED
555,632,H1087,10,BQM4202A,Bay42-S-2,184,200,208,0,16,True,ALLOCATED
556,622,H1087,29,PPT1005A,Bay10-S-9,185,200,208,0,15,True,ALLOCATED
557,144,H1087,57,PPT0810A,Bay8-S-19,142,165,202,0,23,True,ALLOCATED
558,144,H1087,65,PPT0864A,Bay8-N-28,142,165,202,0,23,True,ALLOCATED
559,154,H1087,12,PPT0002A,0西-3,143,166,202,0,23,True,ALLOCATED
560,154,H1087,15,PPT0051A,0东-2,143,166,202,0,23,True,ALLOCATED
561,133,H1087,2,BQM4803A,Bay48-S-3,488,516,201,315,28,True,ALLOCATED
562,124,H1087,36,PPT1012A,Bay10-S-23,149,171,200,0,22,True,ALLOCATED
563,124,H1088,45,PPT1058A,Bay10-N-16,149,171,200,0,22,True,ALLOCATED
564,134,H1088,8,BQM4503A,Bay45-S-3,432,454,200,254,22,True,ALLOCATED
565,134,H1088,2,BQM4803A,Bay48-S-3,435,457,200,257,22,True,ALLOCATED
566,111,H1088,7,BQM4853A,Bay48-N-3,462,487,197,290,25,True,ALLOCATED
567,102,H1088,39,PPT1052A,Bay10-N-4,173,211,197,14,38,True,ALLOCATED
568,261,H1088,11,PPT0001A,0西-1,172,203,199,4,31,True,ALLOCATED
569,261,H1088,17,PPT0053A,0东-6,172,203,199,4,31,True,ALLOCATED
570,271,H1088,40,PPT1053A,Bay10-N-6,170,201,199,2,31,True,ALLOCATED
571,271,H1087,20,PPT0056A,0东-12,171,202,199,3,31,True,ALLOCATED
572,103,H1087,8,BQM4503A,Bay45-S-3,547,573,201,372,26,True,ALLOCATED
573,104,H1087,9,BQM4504A,Bay45-S-4,192,207,205,2,15,True,ALLOCATED
574,101,H1087,27,PPT1003A,Bay10-S-5,143,188,192,0,45,True,ALLOCATED
575,122,H1087,50,PPT0801A,Bay8-S-1,175,202,200,2,27,True,ALLOCATED
576,132,H1087,54,PPT0807A,Bay8-S-13,177,204,200,4,27,True,ALLOCATED
577,122,H1087,29,PPT1005A,Bay10-S-9,200,214,205,9,14,True,ALLOCATED
578,132,H1087,10,BQM4202A,Bay42-S-2,200,214,205,9,14,True,ALLOCATED
579,262,H1088,62,PPT0861A,Bay8-N-22,160,191,199,0,31,True,ALLOCATED
580,262,H1088,9,BQM4504A,Bay45-S-4,161,192,199,0,31,True,ALLOCATED
581,272,H1088,48,PPT1061A,Bay10-N-22,156,187,199,0,31,True,ALLOCATED
582,272,H1088,38,PPT1051A,Bay10-N-2,160,191,199,0,31,True,ALLOCATED
583,112,H1088,63,PPT0862A,Bay8-N-24,178,196,195,1,18,True,ALLOCATED
584,221,H1088,64,PPT0863A,Bay8-N-26,166,186,206,0,20,True,ALLOCATED
585,111,H1088,8,BQM4503A,Bay45-S-3,407,432,187,245,25,True,ALLOCATED
586,111,H1088,2,BQM4803A,Bay48-S-3,410,435,187,248,25,True,ALLOCATED
587,183,H1087,63,PPT0862A,Bay8-N-24,147,168,192,0,21,True,ALLOCATED
